gene	CHROM	gene_start	gene_end	gene_length	gene_ensembl
CHFR-DT	12	132887841	132888583	742	ENSG00000236617
ENSG00000250790	12	132911469	132914732	3263	ENSG00000250790
ZNF605	12	132918305	132956306	38001	ENSG00000196458
ENSG00000289516	12	132956527	132977670	21143	ENSG00000289516
ZNF26	12	132986364	133032952	46588	ENSG00000198393
ZNF84-DT	12	133030388	133037222	6834	ENSG00000246394
ZNF84	12	133037291	133063304	26013	ENSG00000198040
ZNF140	12	133080473	133107526	27053	ENSG00000196387
ZNF891	12	133104778	133130274	25496	ENSG00000214029
ENSG00000271963	12	133115691	133122340	6649	ENSG00000271963
ZNF10	12	133130574	133159465	28891	ENSG00000256223
ZNF268	12	133181408	133214832	33424	ENSG00000090612
ANHX	12	133218311	133235877	17566	ENSG00000227059
FAM230C	13	18195296	18232024	36728	ENSG00000279516
ENSG00000290438	13	18408805	18423100	14295	ENSG00000290438
LINC00349	13	18538879	18551214	12335	ENSG00000231238
LINC00388	13	18610297	18611675	1378	ENSG00000229788
LINC00387	13	18672826	18676163	3337	ENSG00000231914
LINC00408	13	18905418	18935554	30136	ENSG00000226250
ENSG00000231358	13	18921887	18944284	22397	ENSG00000231358
ENSG00000291256	13	18946901	18952587	5686	ENSG00000291256
ENSG00000290620	13	18965269	19009436	44167	ENSG00000290620
LINC00442	13	19008258	19026802	18544	ENSG00000232685
ENSG00000226619	13	19027836	19028701	865	ENSG00000226619
ENSG00000287861	13	19074037	19118315	44278	ENSG00000287861
TUBA3C	13	19173771	19181824	8053	ENSG00000198033
ENSG00000290437	13	19182037	19187618	5581	ENSG00000290437
LINC00421	13	19345048	19346749	1701	ENSG00000236834
ENSG00000229791	13	19408041	19409529	1488	ENSG00000229791
TPTE2	13	19422875	19561625	138750	ENSG00000132958
LINC00350	13	19561327	19588603	27276	ENSG00000225316
MPHOSPH8	13	19633658	19673441	39783	ENSG00000196199
PSPC1-AS2	13	19674623	19675884	1261	ENSG00000226352
PSPC1	13	19674751	19783019	108268	ENSG00000121390
ZMYM5	13	19823481	19863649	40168	ENSG00000132950
ENSG00000223576	13	19841826	19843672	1846	ENSG00000223576
ENSG00000275964	13	19863837	19866329	2492	ENSG00000275964
ENSG00000289235	13	19957431	19958208	777	ENSG00000289235
ZMYM2	13	19958676	20091829	133153	ENSG00000121741
LINC01072	13	20102700	20103230	530	ENSG00000236076
GJA3	13	20138254	20161052	22798	ENSG00000121743
LINC00556	13	20181530	20181942	412	ENSG00000260131
GJB2	13	20187462	20192938	5476	ENSG00000165474
GJB6	13	20221961	20232365	10404	ENSG00000121742
CRYL1	13	20403665	20525873	122208	ENSG00000165475
ENSG00000277020	13	20564707	20567045	2338	ENSG00000277020
IFT88	13	20567137	20691444	124307	ENSG00000032742
ENSG00000278291	13	20699306	20703718	4412	ENSG00000278291
IL17D	13	20702126	20723098	20972	ENSG00000172458
EEF1AKMT1	13	20728730	20773961	45231	ENSG00000150456
ENSG00000275485	13	20768875	20769375	500	ENSG00000275485
XPO4	13	20777328	20903048	125720	ENSG00000132953
LATS2	13	20973035	21061586	88551	ENSG00000150457
LATS2-AS1	13	21005156	21018122	12966	ENSG00000233851
SAP18	13	21140118	21149097	8979	ENSG00000150459
SKA3	13	21153594	21176552	22958	ENSG00000165480
MRPL57	13	21176657	21179084	2427	ENSG00000173141
LINC01046	13	21224520	21235204	10684	ENSG00000233405
ENSG00000290911	13	21283486	21298091	14605	ENSG00000290911
ENSG00000291046	13	21298114	21353228	55114	ENSG00000291046
LINC00539	13	21302861	21362139	59278	ENSG00000224429
ZDHHC20	13	21348783	21459370	110587	ENSG00000180776
ENSG00000289814	13	21357662	21361420	3758	ENSG00000289814
ZDHHC20-IT1	13	21376976	21377874	898	ENSG00000236953
MICU2	13	21492690	21604181	111491	ENSG00000165487
ENSG00000289860	13	21642569	21670974	28405	ENSG00000289860
FGF9	13	21671072	21704498	33426	ENSG00000102678
LINC00424	13	21872762	21878256	5494	ENSG00000226722
LINC00540	13	22040971	22276526	235555	ENSG00000276476
ENSG00000287357	13	22589698	22593871	4173	ENSG00000287357
LINC00621	13	22859049	22916369	57320	ENSG00000262619
ENSG00000262198	13	22884162	22924602	40440	ENSG00000262198
ENSG00000289217	13	22926565	22934994	8429	ENSG00000289217
ENSG00000283075	13	22931536	22931999	463	ENSG00000283075
ENSG00000289861	13	23158744	23159657	913	ENSG00000289861
LINC00362	13	23169834	23170597	763	ENSG00000229483
SGCG	13	23180978	23325162	144184	ENSG00000102683
SACS	13	23288688	23433763	145075	ENSG00000151835
SACS-AS1	13	23418970	23428869	9899	ENSG00000229558
LINC00327	13	23465775	23487712	21937	ENSG00000232977
LINC00352	13	23498795	23502874	4079	ENSG00000227893
ENSG00000289688	13	23505237	23535314	30077	ENSG00000289688
TNFRSF19	13	23570369	23676104	105735	ENSG00000127863
ENSG00000289332	13	23715151	23735387	20236	ENSG00000289332
MIPEP	13	23730188	23889400	159212	ENSG00000027001
PCOTH	13	23888841	23897263	8422	ENSG00000205861
C1QTNF9B	13	23891098	23897502	6404	ENSG00000205863
ENSG00000290660	13	23939556	23946782	7226	ENSG00000290660
ENSG00000287530	13	23954492	23970188	15696	ENSG00000287530
SPATA13	13	23979804	24307074	327270	ENSG00000182957
SPATA13-AS1	13	24252748	24254439	1691	ENSG00000227213
C1QTNF9	13	24307165	24322535	15370	ENSG00000240654
C1QTNF9-AS1	13	24315724	24321598	5874	ENSG00000240868
LINC00566	13	24331449	24337121	5672	ENSG00000261498
PARP4	13	24420930	24512778	91848	ENSG00000102699
ENSG00000288103	13	24517793	24530461	12668	ENSG00000288103
ENSG00000287376	13	24539138	24541720	2582	ENSG00000287376
ENSG00000290443	13	24586003	24597676	11673	ENSG00000290443
ATP12A	13	24680407	24712472	32065	ENSG00000075673
ENSG00000285806	13	24723100	24738690	15590	ENSG00000285806
ENSG00000287887	13	24747657	24755201	7544	ENSG00000287887
RNF17	13	24764168	24879921	115753	ENSG00000132972
CENPJ	13	24882278	24922889	40611	ENSG00000151849
ENSG00000291041	13	24924672	24968520	43848	ENSG00000291041
PABPC3	13	25096135	25099254	3119	ENSG00000151846
ENSG00000289006	13	25096139	25098229	2090	ENSG00000289006
AMER2	13	25161678	25172288	10610	ENSG00000165566
LINC01053	13	25168968	25190643	21675	ENSG00000238169
LINC00463	13	25172818	25180079	7261	ENSG00000234056
LINC01076	13	25193106	25210295	17189	ENSG00000225105
MTMR6	13	25246221	25287510	41289	ENSG00000139505
ENSG00000260509	13	25300123	25301438	1315	ENSG00000260509
NUP58	13	25301523	25365390	63867	ENSG00000139496
ATP8A2	13	25371973	26025851	653878	ENSG00000132932
ENSG00000289125	13	25975579	25977504	1925	ENSG00000289125
SHISA2	13	26044596	26052016	7420	ENSG00000180730
LINC00415	13	26052275	26053385	1110	ENSG00000231983
RNF6	13	26132114	26222314	90200	ENSG00000127870
ENSG00000277368	13	26221926	26222654	728	ENSG00000277368
CDK8	13	26254103	26420982	166879	ENSG00000132964
ENSG00000285929	13	26488951	26496120	7169	ENSG00000285929
WASF3	13	26557682	26688948	131266	ENSG00000132970
WASF3-AS1	13	26606543	26641793	35250	ENSG00000237001
ENSG00000285935	13	26685639	26698804	13165	ENSG00000285935
GPR12	13	26755199	26760786	5587	ENSG00000132975
ENSG00000283579	13	26965966	26991996	26030	ENSG00000283579
USP12	13	27066155	27171811	105656	ENSG00000152484
USP12-AS1	13	27162854	27169135	6281	ENSG00000232162
USP12-DT	13	27172258	27182998	10740	ENSG00000230641
LINC02340	13	27178262	27251288	73026	ENSG00000275294
LINC00412	13	27236281	27250711	14430	ENSG00000234772
RPL21	13	27251361	27256691	5330	ENSG00000122026
RASL11A	13	27270829	27275192	4363	ENSG00000122035
LINC01079	13	27373347	27374366	1019	ENSG00000229609
GTF3A	13	27424618	27435823	11205	ENSG00000122034
MTIF3	13	27435642	27450591	14949	ENSG00000122033
ENSG00000289827	13	27450199	27451416	1217	ENSG00000289827
LNX2	13	27545912	27620529	74617	ENSG00000139517
POLR1D	13	27620741	27744237	123496	ENSG00000186184
ENSG00000273552	13	27667394	27680581	13187	ENSG00000273552
GSX1	13	27792482	27794768	2286	ENSG00000169840
PLUT	13	27819375	27917298	97923	ENSG00000247381
PDX1	13	27919999	27926313	6314	ENSG00000139515
LINC00543	13	27953525	27955370	1845	ENSG00000260704
CDX2	13	27960917	27969315	8398	ENSG00000165556
URAD	13	27977716	27988693	10977	ENSG00000183463
FLT3	13	28003273	28100592	97319	ENSG00000122025
PAN3-AS1	13	28136842	28138193	1351	ENSG00000261485
PAN3	13	28138505	28295335	156830	ENSG00000152520
FLT1	13	28300345	28495145	194800	ENSG00000102755
ENSG00000289569	13	28658870	28659091	221	ENSG00000289569
POMP	13	28659064	28678959	19895	ENSG00000132963
SLC46A3	13	28700063	28718970	18907	ENSG00000139508
MTUS2	13	28820338	29505947	685609	ENSG00000132938
MTUS2-AS2	13	29239378	29250554	11176	ENSG00000236758
MTUS2-AS1	13	29476514	29490105	13591	ENSG00000179141
SLC7A1	13	29509413	29595688	86275	ENSG00000139514
UBL3	13	29764370	29850617	86247	ENSG00000122042
LINC00297	13	29872612	29888405	15793	ENSG00000224329
LINC00572	13	29918646	29926651	8005	ENSG00000224405
LINC00544	13	29935770	29950488	14718	ENSG00000122043
ENSG00000266505	13	30022020	30023800	1780	ENSG00000266505
LINC00365	13	30103177	30108895	5718	ENSG00000224511
LINC00384	13	30151885	30159621	7736	ENSG00000232117
LINC00385	13	30153743	30160592	6849	ENSG00000232643
KATNAL1	13	30202629	30307551	104922	ENSG00000102781
LINC00427	13	30316359	30319903	3544	ENSG00000236463
LINC00426	13	30340266	30377145	36879	ENSG00000238121
ENSG00000285773	13	30388784	30404967	16183	ENSG00000285773
ENSG00000289302	13	30408135	30418781	10646	ENSG00000289302
LINC01058	13	30418338	30422251	3913	ENSG00000225039
UBE2L5	13	30422487	30429758	7271	ENSG00000236444
HMGB1	13	30456703	30617597	160894	ENSG00000189403
ENSG00000285840	13	30466116	30482312	16196	ENSG00000285840
USPL1	13	30617692	30660770	43078	ENSG00000132952
ALOX5AP	13	30713477	30764426	50949	ENSG00000132965
LINC00398	13	30803205	30810645	7440	ENSG00000237879
LINC00545	13	30863368	30883424	20056	ENSG00000236094
TEX26-AS1	13	30881932	30933846	51914	ENSG00000224743
MEDAG	13	30906270	30925572	19302	ENSG00000102802
TEX26	13	30932655	30975500	42845	ENSG00000175664
ENSG00000238185	13	30973288	30977623	4335	ENSG00000238185
LINC01066	13	30995161	30996138	977	ENSG00000230403
ENSG00000286286	13	31037048	31056366	19318	ENSG00000286286
HSPH1	13	31134972	31162388	27416	ENSG00000120694
B3GLCT	13	31199974	31332276	132302	ENSG00000187676
ENSG00000290234	13	31369424	31372957	3533	ENSG00000290234
ENSG00000278305	13	31419988	31437999	18011	ENSG00000278305
RXFP2	13	31739525	31803389	63864	ENSG00000133105
ENSG00000289381	13	31796367	31814678	18311	ENSG00000289381
ENSG00000287904	13	31838751	31846539	7788	ENSG00000287904
FRY	13	31846712	32299125	452413	ENSG00000073910
ENSG00000289617	13	31962929	31963742	813	ENSG00000289617
FRY-AS1	13	32025313	32031639	6326	ENSG00000237637
ZAR1L	13	32303698	32315363	11665	ENSG00000189167
BRCA2	13	32315085	32400268	85183	ENSG00000139618
N4BP2L1	13	32400722	32428311	27589	ENSG00000139597
N4BP2L2	13	32432416	32538885	106469	ENSG00000244754
N4BP2L2-IT2	13	32504505	32509395	4890	ENSG00000281026
PDS5B	13	32586451	32778019	191568	ENSG00000083642
ENSG00000277151	13	32782873	32788178	5305	ENSG00000277151
LINC00423	13	32877430	32911650	34220	ENSG00000226968
KL	13	33016422	33066143	49721	ENSG00000133116
STARD13	13	33103136	33350630	247494	ENSG00000133121
STARD13-IT1	13	33158586	33164409	5823	ENSG00000230300
STARD13-AS	13	33180400	33281584	101184	ENSG00000236581
ENSG00000287274	13	33285865	33290561	4696	ENSG00000287274
LINC02344	13	33333678	33335277	1599	ENSG00000227911
ENSG00000285621	13	33335496	33349619	14123	ENSG00000285621
ENSG00000277386	13	33336215	33336716	501	ENSG00000277386
ENSG00000230490	13	33354862	33676820	321958	ENSG00000230490
ENSG00000234535	13	33610966	33611522	556	ENSG00000234535
ENSG00000232986	13	33657435	33659928	2493	ENSG00000232986
ENSG00000288767	13	33679473	33687175	7702	ENSG00000288767
ENSG00000286779	13	33800137	33802853	2716	ENSG00000286779
RFC3	13	33818068	33966558	148490	ENSG00000133119
ENSG00000276672	13	33846189	33850825	4636	ENSG00000276672
LINC02343	13	34347985	34616216	268231	ENSG00000271850
LINC00457	13	34435449	34640803	205354	ENSG00000225179
ENSG00000271901	13	34545928	34696612	150684	ENSG00000271901
ENSG00000261728	13	34925833	34928076	2243	ENSG00000261728
NBEA	13	34942269	35673022	730753	ENSG00000172915
MAB21L1	13	35473418	35478764	5346	ENSG00000180660
ENSG00000287650	13	35494177	35496615	2438	ENSG00000287650
LINC00445	13	35697486	35699938	2452	ENSG00000236036
DCLK1	13	35768651	36131382	362731	ENSG00000133083
SOHLH2	13	36168216	36214588	46372	ENSG00000120669
CCDC169	13	36222007	36297840	75833	ENSG00000242715
SPART	13	36301637	36370180	68543	ENSG00000133104
SPART-AS1	13	36346430	36369601	23171	ENSG00000120664
CCNA1	13	36431519	36442870	11351	ENSG00000133101
SERTM1	13	36674019	36697839	23820	ENSG00000180440
RFXAP	13	36819221	36829104	9883	ENSG00000133111
SMAD9	13	36844830	36920887	76057	ENSG00000120693
SMAD9-IT1	13	36849365	36850046	681	ENSG00000236711
ALG5	13	36949737	37000763	51026	ENSG00000120697
EXOSC8	13	36998815	37025881	27066	ENSG00000120699
SUPT20H	13	37009311	37059713	50402	ENSG00000102710
CSNK1A1L	13	37103258	37105664	2406	ENSG00000180138
LINC01048	13	37481466	37484769	3303	ENSG00000230390
LINC00547	13	37534939	37551536	16597	ENSG00000275226
POSTN	13	37562582	37598844	36262	ENSG00000133110
TRPC4	13	37632062	37869802	237740	ENSG00000133107
ENSG00000287477	13	37869824	37874444	4620	ENSG00000287477
LINC02334	13	37934297	38066444	132147	ENSG00000274317
LINC00571	13	38050816	38350259	299443	ENSG00000223685
UFM1	13	38349848	38363619	13771	ENSG00000120686
LINC00437	13	38533342	38545299	11957	ENSG00000236354
LINC00366	13	38567714	38622671	54957	ENSG00000229437
FREM2	13	38687076	38887131	200055	ENSG00000150893
FREM2-AS1	13	38821797	38827570	5773	ENSG00000225350
STOML3	13	38965924	38990859	24935	ENSG00000133115
PROSER1	13	39009864	39038089	28225	ENSG00000120685
NHLRC3	13	39038305	39050109	11804	ENSG00000188811
ENSG00000273507	13	39053018	39223238	170220	ENSG00000273507
LHFPL6	13	39209115	39603528	394413	ENSG00000183722
COG6	13	39655626	39791665	136039	ENSG00000133103
LINC00598	13	40079105	40535807	456702	ENSG00000215483
LINC00332	13	40172504	40195361	22857	ENSG00000230710
FOXO1	13	40555666	40666641	110975	ENSG00000150907
MRPS31	13	40729127	40771190	42063	ENSG00000102738
SLC25A15	13	40789411	40812460	23049	ENSG00000102743
ENSG00000290476	13	40812308	40921749	109441	ENSG00000290476
ENSG00000287837	13	40874684	40877861	3177	ENSG00000287837
SUGT1P3	13	40882576	40921774	39198	ENSG00000290464
ELF1	13	40931923	41061440	129517	ENSG00000120690
WBP4	13	41061508	41084006	22498	ENSG00000120688
KBTBD6	13	41127568	41132802	5234	ENSG00000165572
ENSG00000278390	13	41132927	41236686	103759	ENSG00000278390
KBTBD7	13	41189833	41194569	4736	ENSG00000120696
MTRF1	13	41216368	41263577	47209	ENSG00000120662
ENSG00000277662	13	41229179	41229676	497	ENSG00000277662
NAA16	13	41311266	41377030	65764	ENSG00000172766
RGCC	13	41457549	41470871	13322	ENSG00000102760
ENSG00000288600	13	41488356	41506248	17892	ENSG00000288600
ENSG00000288598	13	41517167	41590462	73295	ENSG00000288598
VWA8	13	41566834	41961120	394286	ENSG00000102763
VWA8-AS1	13	41955807	41981565	25758	ENSG00000278338
DGKH	13	42040035	42256578	216543	ENSG00000102780
ENSG00000231530	13	42043726	42044247	521	ENSG00000231530
AKAP11	13	42272151	42323261	51110	ENSG00000023516
LINC02341	13	42339187	42485956	146769	ENSG00000283554
TNFSF11	13	42562735	42608013	45278	ENSG00000120659
FAM216B	13	42781549	42791549	10000	ENSG00000179813
LINC01050	13	42810365	42814897	4532	ENSG00000271216
LINC00428	13	42842413	42842887	474	ENSG00000229546
EPSTI1	13	42886387	42992271	105884	ENSG00000133106
DNAJC15	13	43023202	43114213	91011	ENSG00000120675
LINC00400	13	43158630	43159466	836	ENSG00000229928
ENOX1	13	43213129	43786972	573843	ENSG00000120658
ENOX1-AS2	13	43458464	43459484	1020	ENSG00000238189
ENOX1-AS1	13	43543917	43548056	4139	ENSG00000233821
ENSG00000287842	13	43607312	43629464	22152	ENSG00000287842
ENSG00000287029	13	43786780	43814798	28018	ENSG00000287029
ENSG00000270522	13	43787590	43787852	262	ENSG00000270522
CCDC122	13	43823908	43879740	55832	ENSG00000151773
ENSG00000274001	13	43877714	43878163	449	ENSG00000274001
LACC1	13	43879283	43893932	14649	ENSG00000179630
NRAD1	13	43908668	44030461	121793	ENSG00000233725
LINC00390	13	44094821	44147765	52944	ENSG00000226519
SMIM2-AS1	13	44110450	44240517	130067	ENSG00000227258
SMIM2	13	44143149	44161257	18108	ENSG00000139656
SMIM2-IT1	13	44146469	44158222	11753	ENSG00000235285
ENSG00000276854	13	44196005	44197298	1293	ENSG00000276854
LINC02938	13	44234117	44256596	22479	ENSG00000230731
ENSG00000289852	13	44306698	44307266	568	ENSG00000289852
ENSG00000277831	13	44369364	44369877	513	ENSG00000277831
SERP2	13	44373664	44397714	24050	ENSG00000151778
TUSC8	13	44399539	44405984	6445	ENSG00000237361
TSC22D1	13	44432142	44577147	145005	ENSG00000102804
TSC22D1-AS1	13	44575892	44580432	4540	ENSG00000278156
LINC00407	13	44651811	44701016	49205	ENSG00000237585
ENSG00000276527	13	44684486	44715393	30907	ENSG00000276527
LINC00330	13	44799502	44809630	10128	ENSG00000235097
NUFIP1	13	44939248	44989471	50223	ENSG00000083635
ENSG00000223732	13	44982076	45083125	101049	ENSG00000223732
GPALPP1	13	44989528	45037669	48141	ENSG00000133114
GTF2F2	13	45120509	45284893	164384	ENSG00000188342
KCTD4	13	45192852	45201045	8193	ENSG00000180332
TPT1	13	45333470	45341284	7814	ENSG00000133112
ENSG00000273149	13	45340038	45341183	1145	ENSG00000273149
TPT1-AS1	13	45341344	45417975	76631	ENSG00000170919
ENSG00000228886	13	45350322	45351350	1028	ENSG00000228886
SLC25A30	13	45393315	45418455	25140	ENSG00000174032
SLC25A30-AS1	13	45418161	45420371	2210	ENSG00000251015
COG3	13	45464897	45536701	71804	ENSG00000136152
ERICH6B	13	45534521	45615739	81218	ENSG00000165837
LINC01055	13	45680181	45701187	21006	ENSG00000235366
CBY2	13	45702319	45714559	12240	ENSG00000174015
SIAH3	13	45777241	45851753	74512	ENSG00000215475
ZC3H13	13	45954464	46052759	98295	ENSG00000123200
CPB2-AS1	13	46052496	46161379	108883	ENSG00000235903
CPB2	13	46053185	46105033	51848	ENSG00000080618
LCP1	13	46125919	46211871	85952	ENSG00000136167
LRRC63	13	46211927	46277115	65188	ENSG00000173988
ENSG00000287863	13	46290299	46298110	7811	ENSG00000287863
LINC00563	13	46296444	46297844	1400	ENSG00000261097
RUBCNL	13	46334680	46438190	103510	ENSG00000102445
LINC01198	13	46455130	46515958	60828	ENSG00000231817
ENSG00000290704	13	46458060	46459185	1125	ENSG00000290704
ENSG00000277228	13	46474245	46493268	19023	ENSG00000277228
LRCH1	13	46553167	46753040	199873	ENSG00000136141
ENSG00000278462	13	46717422	46717688	266	ENSG00000278462
ESD	13	46771255	46797420	26165	ENSG00000139684
HTR2A	13	46831545	46897076	65531	ENSG00000102468
HTR2A-AS1	13	46852142	46856299	4157	ENSG00000224517
SUCLA2	13	47745735	48037968	292233	ENSG00000136143
ENSG00000228573	13	47825329	47835956	10627	ENSG00000228573
LINC00562	13	47930152	47932622	2470	ENSG00000260388
ENSG00000287456	13	47946052	47956830	10778	ENSG00000287456
SUCLA2-AS1	13	48001388	48002552	1164	ENSG00000227848
NUDT15	13	48037725	48047221	9496	ENSG00000136159
ENSG00000276968	13	48041750	48042184	434	ENSG00000276968
MED4	13	48053322	48095131	41809	ENSG00000136146
MED4-AS1	13	48077136	48079991	2855	ENSG00000229111
ITM2B	13	48232611	48270357	37746	ENSG00000136156
RB1-DT	13	48296161	48303720	7559	ENSG00000231473
RB1	13	48303743	48599436	295693	ENSG00000139687
ENSG00000277684	13	48340796	48341330	534	ENSG00000277684
LPAR6	13	48389566	48444704	55138	ENSG00000139679
RCBTB2	13	48488962	48533256	44294	ENSG00000136161
ENSG00000287599	13	48531799	48556358	24559	ENSG00000287599
ENSG00000274929	13	48532012	48532599	587	ENSG00000274929
ENSG00000289900	13	48532863	48533262	399	ENSG00000289900
LINC01077	13	48570638	48573317	2679	ENSG00000233456
LINC00462	13	48576973	48590587	13614	ENSG00000233610
CYSLTR2	13	48653710	48711226	57516	ENSG00000152207
ENSG00000275202	13	48974966	48976867	1901	ENSG00000275202
FNDC3A	13	48975911	49209779	233868	ENSG00000102531
MLNR	13	49220337	49222377	2040	ENSG00000102539
ENSG00000288743	13	49235512	49247840	12328	ENSG00000288743
CDADC1	13	49247924	49293485	45561	ENSG00000102543
CAB39L	13	49308649	49444064	135415	ENSG00000102547
SETDB2	13	49444273	49495003	50730	ENSG00000136169
PHF11	13	49495609	49528981	33372	ENSG00000136147
RCBTB1	13	49531945	49585558	53613	ENSG00000136144
ARL11	13	49628506	49633872	5366	ENSG00000152213
EBPL	13	49660673	49691486	30813	ENSG00000123179
KPNA3	13	49699319	49792682	93363	ENSG00000102753
ENSG00000276436	13	49792885	49793307	422	ENSG00000276436
SPRYD7	13	49912701	49936490	23789	ENSG00000123178
DLEU2	13	49956669	50125720	169051	ENSG00000231607
TRIM13	13	49995887	50020481	24594	ENSG00000204977
KCNRG	13	50015253	50020922	5669	ENSG00000198553
DLEU1	13	50082168	50906856	824688	ENSG00000176124
ENSG00000274270	13	50125815	50128463	2648	ENSG00000274270
ENSG00000286191	13	50372787	50387158	14371	ENSG00000286191
DLEU7	13	50519363	50843939	324576	ENSG00000186047
RNASEH2B-AS1	13	50862171	50910764	48593	ENSG00000233672
RNASEH2B	13	50909746	51024120	114374	ENSG00000136104
C13orf42	13	51082118	51200252	118134	ENSG00000226792
ENSG00000289894	13	51169580	51187874	18294	ENSG00000289894
ENSG00000274652	13	51180177	51180967	790	ENSG00000274652
FAM124A	13	51222333	51284239	61906	ENSG00000150510
SERPINE3	13	51335772	51364735	28963	ENSG00000253309
INTS6	13	51354076	51454264	100188	ENSG00000102786
INTS6-AS1	13	51452363	51554678	102315	ENSG00000236778
WDFY2	13	51584454	51767709	183255	ENSG00000139668
DHRS12	13	51767992	51804163	36171	ENSG00000102796
ENSG00000231856	13	51803837	51813832	9995	ENSG00000231856
TMEM272	13	51813346	51845177	31831	ENSG00000281106
CCDC70	13	51861968	51866232	4264	ENSG00000123171
ATP7B	13	51930435	52012125	81690	ENSG00000123191
ALG11	13	52012390	52079232	66842	ENSG00000253710
UTP14C	13	52024690	52033600	8910	ENSG00000253797
NEK5	13	52033610	52129092	95482	ENSG00000197168
ENSG00000273523	13	52128890	52132723	3833	ENSG00000273523
NEK3	13	52132638	52159597	26959	ENSG00000136098
MRPS31P5	13	52167708	52194465	26757	ENSG00000291010
ENSG00000290490	13	52219343	52334277	114934	ENSG00000290490
LINC02333	13	52334294	52341896	7602	ENSG00000271564
THSD1	13	52377166	52416373	39207	ENSG00000136114
VPS36	13	52412601	52450634	38033	ENSG00000136100
CKAP2-DT	13	52454773	52455392	619	ENSG00000278238
CKAP2	13	52455428	52476628	21200	ENSG00000136108
LINC00345	13	52482803	52489216	6413	ENSG00000235660
ENSG00000290855	13	52488992	52520913	31921	ENSG00000290855
ENSG00000291255	13	52570152	52587095	16943	ENSG00000291255
ENSG00000290856	13	52600118	52637368	37250	ENSG00000290856
HNRNPA1L2	13	52642430	52643773	1343	ENSG00000139675
SUGT1-DT	13	52651304	52652337	1033	ENSG00000273723
SUGT1	13	52652708	52700909	48201	ENSG00000165416
CNMD	13	52703263	52739820	36557	ENSG00000136110
PCDH8	13	52842888	52848641	5753	ENSG00000136099
OLFM4	13	53028812	53052057	23245	ENSG00000102837
LINC01065	13	53099396	53151914	52518	ENSG00000237092
ENSG00000279325	13	53193666	53198540	4874	ENSG00000279325
ENSG00000287722	13	53207830	53801489	593659	ENSG00000287722
ENSG00000287247	13	53323783	53331065	7282	ENSG00000287247
ENSG00000273919	13	53345210	53410880	65670	ENSG00000273919
ENSG00000288768	13	53364360	53432602	68242	ENSG00000288768
LINC00558	13	53815418	53939960	124542	ENSG00000261517
LINC00458	13	53950254	54270397	320143	ENSG00000234787
ENSG00000287460	13	54572353	54687547	115194	ENSG00000287460
ENSG00000286537	13	54816351	54819238	2887	ENSG00000286537
ENSG00000277047	13	54938603	54986720	48117	ENSG00000277047
LINC02335	13	55062944	55161490	98546	ENSG00000278630
ENSG00000274090	13	55535696	55583524	47828	ENSG00000274090
ENSG00000286709	13	56051033	56054397	3364	ENSG00000286709
ENSG00000289475	13	57135013	57137731	2718	ENSG00000289475
PRR20A	13	57140917	57143939	3022	ENSG00000204919
PRR20C	13	57140917	57157082	16165	ENSG00000229665
PRR20B	13	57147487	57150509	3022	ENSG00000204918
PRR20D	13	57160631	57163653	3022	ENSG00000227151
PRR20E	13	57167196	57170218	3022	ENSG00000234278
ENSG00000288765	13	57630107	57631154	1047	ENSG00000288765
PCDH17	13	57631743	57729311	97568	ENSG00000118946
ENSG00000278722	13	57632758	57633575	817	ENSG00000278722
LINC02338	13	58165826	58209483	43657	ENSG00000277448
LINC00374	13	58211696	58233117	21421	ENSG00000232954
ENSG00000288015	13	59121878	59230636	108758	ENSG00000288015
DIAPH3	13	59665582	60163928	498346	ENSG00000139734
DIAPH3-AS1	13	60012733	60044357	31624	ENSG00000227528
DIAPH3-AS2	13	60144647	60153678	9031	ENSG00000223815
LINC00434	13	60214351	60214946	595	ENSG00000227336
TDRD3	13	60396456	60573878	177422	ENSG00000083544
LINC00378	13	60618990	61176758	557768	ENSG00000225249
LINC01442	13	60916980	60945955	28975	ENSG00000227510
PCDH20	13	61409684	61415849	6165	ENSG00000280165
LINC02339	13	61424688	61427946	3258	ENSG00000279797
LINC00358	13	61997135	62029572	32437	ENSG00000229578
LINC01075	13	62212576	62249947	37371	ENSG00000230142
LINC01074	13	62321304	62322398	1094	ENSG00000227611
LINC00459	13	62323656	62328833	5177	ENSG00000229307
ENSG00000286469	13	62539350	62574905	35555	ENSG00000286469
LINC00448	13	62672284	62796714	124430	ENSG00000228669
ENSG00000273550	13	63034667	63097797	63130	ENSG00000273550
LINC00376	13	63183095	63328129	145034	ENSG00000227564
ENSG00000287996	13	63397010	63513393	116383	ENSG00000287996
LINC00395	13	63667680	63738018	70338	ENSG00000231061
ENSG00000290963	13	63737510	63742569	5059	ENSG00000290963
ENSG00000237378	13	63746740	63751080	4340	ENSG00000237378
ENSG00000287128	13	63814652	63825534	10882	ENSG00000287128
ENSG00000290964	13	63828839	63844125	15286	ENSG00000290964
ENSG00000285566	13	63832360	63833053	693	ENSG00000285566
LINC00355	13	63851196	64076044	224848	ENSG00000227674
LINC01052	13	65866069	65922731	56662	ENSG00000234767
ENSG00000286395	13	65941072	65973699	32627	ENSG00000286395
PCDH9	13	66302833	67230445	927612	ENSG00000184226
PCDH9-AS1	13	66303870	66323561	19691	ENSG00000234527
